domain,tranco_rank,category,theme,ip,server_header,primary_contact_email,all_emails,phones,socials,addresses,pages_checked,fetched_at
mrbush.co.zw,,ecommerce,,103.138.189.55,LiteSpeed,sales@mrbush.co.zw,sales@mrbush.co.zw; ernest@mrbush.co.zw; jennifer@mrbush.co.zw,0242 756967; 0242756967; 0242756968,,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.302823+00:00
mcmlegal.co.zw,,business,astra,106.0.62.94,Apache,admin@mcmlegal.co.zw,admin@mcmclegal.co.zw; admin@mcmlegal.co.zw,+263 772468093; +263 772912674,https://www.linkedin.com/company/mcmlegalservice/; https://www.facebook.com/mcmlegalservice; https://www.instagram.com/mcm_legal/; https://www.facebook.com/mcmlegalservice/,,"/,/about/,/contact",2026-05-04T21:08:46.302863+00:00
mtmattorneys.co.zw,,business,,103.138.189.55,LiteSpeed,info@mtmattorneys.co.zw,info@mtmattorneys.co.zw; adminhre@mtmattorneys.co.zw; adminbyo@mtmattorneys.co.zw,04 796628; 09 72630; +263 4 796628,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.302896+00:00
mif.co.zw,,business,,172.66.164.48,cloudflare,,,+263 8688 008196,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.302917+00:00
market.ama.co.zw,,government,,162.241.125.79,Apache,,,,,,,2026-05-04T21:08:46.302931+00:00
mrradiator.co.zw,,business,,172.67.210.180,,,,+263 773 519 783; +263 787 394 858,https://www.instagram.com/mrrradiatorzim/; https://www.instagram.com/p/CzauQ6ZI5fw/; https://www.instagram.com/p/CzS7jvBor2i/; https://www.instagram.com/p/CxvTMMAo7-m/; https://www.instagram.com/p/CxvTKXcIawE/; https://www.instagram.com/p/CxvTKBzIZeE/,,/,2026-05-04T21:08:46.302948+00:00
mowbrat.co.zw,,business,,65.60.45.205,Apache,info@mowbrat.co.zw,info@mowbrat.co.zw; mowbratsales@mowbrat.co.zw,0773274353 0779063114,,,/,2026-05-04T21:08:46.302972+00:00
migym.co.zw,,business,,106.0.62.94,Apache,info@migym.co.zw,info@migym.co.zw,+263 784 078 052,https://www.facebook.com/MiGymZW/; https://www.instagram.com/migym_zw/,,"/,/about/,/migym.co.zw/contact",2026-05-04T21:08:46.302990+00:00
mollsoncleaners.co.zw,,business,,149.255.62.136,nginx,info@mollsoncleaners.co.zw,info@mollsoncleaners.co.zw,+263771664589; +263785204809; +263775792953,https://www.facebook.com/Mollson-Cleaning-Service-102242898121126/; https://www.linkedin.com/company/mollson-cleaning-service; https://instagram.com/mollson_cleaners,,"/,/about/,/contact",2026-05-04T21:08:46.303020+00:00
mbawala.co.zw,,other,,104.219.248.13,Apache,eugene@mbawala.co.zw,eugene@mbawala.co.zw; ndanitso@gmail.com,+263772409086; +263242251952,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.303054+00:00
maxienergy.co.zw,,business,wp-content,129.232.213.115,Apache,info@maxienergy.co.zw,info@maxienergy.co.zw,0800 - 1700; +263776208516; +263772752526,https://www.facebook.com/maxienergy.co.zw/; https://www.instagram.com/maxienergypvtltd/; https://twitter.com/maxienergy2,,"/,/about/,/about-us/",2026-05-04T21:08:46.303086+00:00
mbirerdc.org.zw,,government,,217.76.49.85,Apache,,,,,,,2026-05-04T21:08:46.303105+00:00
lucraft.co.zw,,business,,149.102.154.62,nginx,,,,,,,2026-05-04T21:08:46.303128+00:00
mmmlegalpractitioners.co.zw,,business,,149.255.62.168,nginx,info@mmmlegalpractitioners.com,info@mmmlegalpractitioners.com,+263 242-752870; +263 242-772051; +263 242-772820,"https://www.facebook.com/MbidzoMuchadehamaMakoniLegalPractitioners/; https://twitter.com/mlawzim; https://www.linkedin.com/company/mbidzo-muchadehama-&-makoni; https://www.facebook.com/sharer/sharer.php?u=http://www.mmmlegalpractitioners.co.zw/&t=Home; https://twitter.com/intent/tweet?source=http://www.mmmlegalpractitioners.co.zw/&text=Home:http://www.mmmlegalpractitioners.co.zw/; http://www.linkedin.com/shareArticle?mini=true&url=http://www.mmmlegalpractitioners.co.zw/&title=Home&summary=Mbidzo, Muchadehama & Makoni Legal Practitioners' creed is The Client's First Legal Firm of Choice Welcome to MMM Legal Practitioners Mbidzo. Muchadehama and Makoni was established in March 2001 with a clear vision to be the clients's first firm of choice. Mbidzo, Muchadehama and Makoni comprises of experienced Legal Practitioners complemented by a dedicated team…&source=http://www.mmmlegalpractitioners.co.zw/; https://www.facebook.com/sharer/sharer.php?u=http://www.mmmlegalpractitioners.co.zw/about-us/&t=About Us; https://twitter.com/intent/tweet?source=http://www.mmmlegalpractitioners.co.zw/about-us/&text=About Us:http://www.mmmlegalpractitioners.co.zw/about-us/; http://www.linkedin.com/shareArticle?mini=true&url=http://www.mmmlegalpractitioners.co.zw/about-us/&title=About Us&summary=About The Firm Mbidzo. Muchadehama and Makoni was established in March 2001 with a clear vision to be the clients's first firm of choice. Mbidzo, Muchadehama and Makoni comprises of experienced Legal Practitioners complemented by a dedicated team of competent staff. Located just outside the Central Business District of Harare for the convenience of its…&source=http://www.mmmlegalpractitioners.co.zw/about-us/; https://www.facebook.com/sharer/sharer.php?u=http://www.mmmlegalpractitioners.co.zw/contact-us/&t=Contact Us; https://twitter.com/intent/tweet?source=http://www.mmmlegalpractitioners.co.zw/contact-us/&text=Contact Us:http://www.mmmlegalpractitioners.co.zw/contact-us/; http://www.linkedin.com/shareArticle?mini=true&url=http://www.mmmlegalpractitioners.co.zw/contact-us/&title=Contact Us&summary=Send us a message Our Contact Details 34 Wyvern Avenue, Belvedere Harare, Zimbabwe +263 242-752870, +263 242-772051 +263 242-772820 or +263 242-772821 info@mmmlegalpractitioners.com&source=http://www.mmmlegalpractitioners.co.zw/contact-us/",,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.303183+00:00
khalidarealty.co.zw,,ecommerce,hello-elementor,129.232.213.107,Apache,info@khalidarealty.co.zw,info@khalidarealty.co.zw,+263 776 200504; 0772844841,https://www.facebook.com/khalidarealtypvtltd/; https://www.instagram.com/khalidarealty/?hl=en; https://zw.linkedin.com/company/khalida-realty-pvt-ltd,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.303272+00:00
msadvisory.co.zw,,business,,129.232.213.113,Apache,info@msadvisory.co.zw,info@msadvisory.co.zw,+263 77 958 8635 33,https://www.facebook.com/mustardseedadvisory/about; https://twitter.com/msa_zimbabwe?s=20; https://zw.linkedin.com/company/mustard-seed-advisory-zimbabwe,,/,2026-05-04T21:08:46.303290+00:00
mogda.co.zw,,government,,188.114.96.5,cloudflare,,,,https://www.facebook.com/profile.php?id=61551388730130; https://twitter.com/@MOG_Gwanda; https://www.facebook.com/pages/Municipality%20of%20Gwanda/175819882606154/; https://x.com/i/flow/login?redirect_after_login=%2FGwandaOf,,"/,/about/,/contact",2026-05-04T21:08:46.303352+00:00
musabvunda.co.zw,,business,,148.72.177.40,LiteSpeed,info@musabvunda.co.zw,info@musabvunda.co.zw,+263 713 553 281; +263 717 183 887; +263 719 205 843,https://www.facebook.com/musabvunda; https://twitter.com/musabvunda; https://www.instagram.com/musabvunda/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.303413+00:00
n1hotel.co.zw,,ecommerce,Avada,192.185.225.75,Apache,samoramachel@n1hotel.co.zw,samoramachel@n1hotel.co.zw; rottenrow@n1hotel.co.zw; bulawayo@n1hotel.co.zw; vicfalls@n1hotel.co.zw,+263 24 270 1813; +263 78 391 0310; +263 867 701 0101,,,/,2026-05-04T21:08:46.303453+00:00
muchiniattorneys.co.zw,,business,,149.255.62.168,,,,0773919857,https://business.facebook.com/ThemeRexStudio/; https://www.instagram.com/themerex_net/; https://twitter.com/ThemerexThemes; https://business.facebook.com/; https://twitter.com/,,"/,/about/,/about-the-law-firm/",2026-05-04T21:08:46.303496+00:00
mrflyer.co.zw,,business,,87.117.234.111,Apache,info@mrflyer.co.zw,info@mrflyer.co.zw,+263 77 294 9283; 077 294 9283,https://www.facebook.com/mrflyer86; https://www.instagram.com/mrflyer86,,"/,/about/,/contact",2026-05-04T21:08:46.303531+00:00
nasdec.co.zw,,business,conult,172.93.106.10,LiteSpeed,info@nasdec.co.zw,contact@example.com; info@nasdec.co.zw,0772 777379; +263772 777379; +263714677403,https://twitter.com/envato/; https://www.facebook.com/envato/; https://www.instagram.com/envato/,,"/,/about/,/contact",2026-05-04T21:08:46.303554+00:00
mutendihighschool.ac.zw,,education,,209.182.206.53,Apache,info@mutendihighschool.ac.zw,info@mutendihighschool.ac.zw,,https://www.facebook.com/profile.php?id=100086732138051,,"/,/about/",2026-05-04T21:08:46.303571+00:00
motherpatrickconvent.ac.zw,,education,,129.232.213.100,Apache,head@motherpatrickconvent.ac.zw,info@motherpatrick.ac.zw; head@motherpatrickconvent.ac.zw; deputyhead@motherpatrickconvent.ac.zw; stockkeeper@motherpatrickconvent.ac.zw; bursar@motherpatrickconvet.ac.zw,+263 778571747,https://www.facebook.com/MotherPatrickConventSchoolWaterfalls,,"/,/about/,/contact",2026-05-04T21:08:46.303608+00:00
mednet.co.zw,,business,,87.117.234.111,Apache,hello@mednet.co.zw,%68ell%6F@me%64%6Eet.co%2E%7Aw; hello@mednet.co.zw,+263 242 745 682; +263 772 443 902; +263 772 443 909,https://www.facebook.com/mednetzw,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.303649+00:00
nazfreight.co.zw,,business,cargohub,192.250.239.56,LiteSpeed,info@nazfreight.co.zw,info@nazfreight.co.zw; f.nazombe@nazfreight.co.zw,,https://www.facebook.com/profile.php?id=61576735717205; https://x.com/nazfreight_zw; https://www.linkedin.com/company/nazfreight-zw; https://www.instagram.com/nazfreight_zw/; https://www.facebook.com/profile.php?id=61566414422461; https://x.com/NazFreight,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.303698+00:00
nattiegroup.co.zw,,education,hello-elementor,145.239.6.187,LiteSpeed,,,0242 861 485; +263 787 472 601; +263 788 306 018,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.303736+00:00
necengineering.co.zw,,government,airpro,172.67.128.81,cloudflare,,,,https://facebook.com/; https://twitter.com/; https://www.linkedin.com/; https://www.instagram.com/,,"/,/about/,/contact",2026-05-04T21:08:46.303755+00:00
nacz.co.zw,,government,hello-elementor,129.232.213.100,Apache,info@nacz.co.zw,natartsziminfo@gmail.com; info@nacz.co.zw; events@nacz.co.zw; Kumby2109@yahoo.com; llndlovu@yahoo.com,0242-304526; +263712442135; 0714843311,https://www.facebook.com/pages/National-Arts-Council-of-Zimbabwe-NACZ/160924927421258?fref=ts; https://twitter.com/naczzim; https://www.instagram.com/nationalartscouncilzim/; https://www.facebook.com/search/top?q=national%20arts%20merit%20awards,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.303799+00:00
mmba.co.zw,,business,,104.21.65.72,cloudflare,,,+263 8677 196 967,https://zw.linkedin.com/in/abraham-kudzai-maguchu-ba213498; https://zw.linkedin.com/in/johannes-muchada-247ab652; https://zw.linkedin.com/in/ratidzo-makumbe-ab2a2682; https://zw.linkedin.com/in/david-peneti-572906149,,/,2026-05-04T21:08:46.303841+00:00
netrade.co.zw,,business,,102.177.72.79,Apache,,,08677006158; +263772570272,,,/,2026-05-04T21:08:46.303869+00:00
milestoneschools.ac.zw,,education,,129.232.213.107,Apache,info@milestoneschools.ac.zw,college@milestoneschools.ac.zw; info@milestoneschools.ac.zw; milestonepreps@gmail.com,+263 77 296 7588; +263 77 296 7853; +263 71 219 2621,https://www.facebook.com/people/Milestone-Group-of-schools/100084577824003/,,"/,/about/,/contact",2026-05-04T21:08:46.303894+00:00
mtfumigators.co.zw,,ecommerce,,172.93.106.10,LiteSpeed,mtfumigators@gmail.com,mtfumigators@gmail.com,0779 275 242; 0773 901 572; +263 864 430 0007,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.303918+00:00
musasa.co.zw,,ngo,,194.163.128.136,Apache,musasaproj@musasa.co.zw,musasaproj@musasa.co.zw,08080074 -; 08010074 -; 0731080074 -,https://www.facebook.com/musasazim; https://twitter.com/musasazim; https://www.instagram.com/musasa_zim/?hl=en; https://zw.linkedin.com/company/musasa-project; https://www.linkedin.com/company/musasa-project/?originalSubdomain=zw,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.303981+00:00
medix.co.zw,,other,,129.232.187.247,Apache,,,,,,,2026-05-04T21:08:46.303999+00:00
netlarks.co.zw,,other,,192.250.229.235,LiteSpeed,sales@netlarks.co.zw,sales@netlarks.co.zw; ray@netlarks.co.zw,+263 773 925 179; +263 242 757587; +263 778 218 822,https://twitter.com/netlarks; https://www.facebook.com/netlarks,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304036+00:00
library.msu.ac.zw,,education,,161.35.11.70,nginx,,,,,,,2026-05-04T21:08:46.304061+00:00
mmattorneys.co.zw,,business,,172.96.161.16,Apache,consult@mmattoneys,consult@mmattoneys; your@email; mudimuvi@chimmlaw.co.zw; maguranyangaj@chimmlaw.co.zw; charityganga@chimmlaw.co.zw,+263 242 332 621,https://www.facebook.com/profile.php?id=100064109044809,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304088+00:00
ndeipi.co.zw,,business,,87.117.234.111,Apache,ads@bambazonke.co.zw,ads@bambazonke.co.zw; medalert@africaonline.co.zw; dow@hararecity.co.zw,0773265933; 0783836084; 0773195986,https://www.facebook.com/bambazonkenhasi/; https://www.instagram.com/bambazonke_nhasi/?igshid=YmMyMTA2M2Y%3D; https://www.linkedin.com/company/bambazonke-online/?originalSubdomain=zw,,"/,/emergency-contacts/",2026-05-04T21:08:46.304108+00:00
naturesfoods.co.zw,,ecommerce,naturesfood,149.255.62.153,nginx,sales@naturesfoods.co.zw,sales@naturesfoods.co.zw,+263 77 166 2464; +263 77 321 7819,http://facebook.com/#; https://twitter.com/#; http://instagram.com/#,,"/,/about/,/contact",2026-05-04T21:08:46.304147+00:00
motornet.co.zw,,business,,50.6.7.67,,admin@motornet.co.zw,admin@motornet.co.zw; sales@motornet.co.zw; windscreens@motornet.co.zw,+263 781 341 735; 0242 610 431; +263 786 355 559,https://www.facebook.com/motornet,,"/,/about/,/contact",2026-05-04T21:08:46.304177+00:00
nexasgas.co.zw,,business,,103.138.189.55,LiteSpeed,admin@nexasgas.co.zw,infor@nexasgas.co.zw; admin@nexasgas.co.zw,+263 77 737 8095; +263 78 361 3445; +263 78 361 3481,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.304213+00:00
natpharm.co.zw,,business,,20.164.200.23,nginx,admin@natpharm.co.zw,admin@natpharm.co.zw,,,,"/,/contact",2026-05-04T21:08:46.304237+00:00
nrz.co.zw,,government,,204.11.58.159,nginx/1.25.5,pubreloffice@nrz.co.zw,pubreloffice@nrz.co.zw; supman@nrz.co.zw; tenders@nrz.co.zw,+263-029-2363522; +263 292 363230; +263 292 363588,https://twitter.com/hashtag/nrz; https://zw.linkedin.com/company/national-railways-of-zimbabwe; https://www.facebook.com/National-Railways-of-Zimbabwe-NRZ-1530651497046578,,"/,/about/,/tenders-contacts/,/contact-us/",2026-05-04T21:08:46.304280+00:00
nnlawpractice.co.zw,,business,,149.255.62.168,nginx,admin@nnlawpractice.co.zw,admin@nnlawpractice.co.zw,+263 71 695 0090; +263 78 339 3481,https://www.facebook.com/NENJY-Nyamapfene-LAW-Practice-1678181029119427/,,"/,/about/,/contact",2026-05-04T21:08:46.304311+00:00
nicolesanderson.co.zw,,blog,,129.232.213.113,Apache,,,,https://www.facebook.com/nicolesandersonspaintings; https://www.instagram.com/artist_nicolesanderson,,"/,/about/,/contact",2026-05-04T21:08:46.304336+00:00
nestien.co.zw,,business,,185.150.190.133,Apache,info@nestien.co.zw,info@nestien.co.zw,+263 786 885 314,https://www.facebook.com/profile.php?id=100083541753961; https://www.instagram.com/nestienincorporatedofficial?igsh=YjIwYXZiaXN2Zmxl; https://instagram.com/worldclassinternationaldesign?igshid=ZDc4ODBmNjlmNQ==,,"/,/about/,/contact",2026-05-04T21:08:46.304384+00:00
numbereighteen.co.zw,,business,,149.255.62.153,nginx,bookings@numbereighteen.co.zw,bookings@numbereighteen.co.zw,+263 774 514 298,https://www.facebook.com/NumberEighteenGuestLodge,,"/,/contact",2026-05-04T21:08:46.304417+00:00
newspro.co.zw,,news,,165.140.70.189,LiteSpeed,,,,,,,2026-05-04T21:08:46.304429+00:00
logodesign.co.zw,,business,,72.52.131.82,Apache,,,0242-251092; 08677 007480; 0732 957786,https://www.facebook.com/LogoDesignZimbabwe,,/,2026-05-04T21:08:46.304442+00:00
necinsurance.co.zw,,business,Divi,162.251.85.153,nginx/1.25.5,info@necinsurance.co.zw,info@necinsurance.co.zw,+263 242 778709; +263 712 511 440; +263 0242 778709,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304467+00:00
nationalcranes.co.zw,,business,hello-elementor,172.67.139.59,cloudflare,,,0788866888,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304488+00:00
netedge.co.zw,,business,,67.225.129.139,Apache,sales@netedge.co.zw,sales@netedge.co.zw,+263 773 530 217; +263 713 262 648,https://www.facebook.com/netedgetelematics,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304518+00:00
mukanyafinancialservices.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.304539+00:00
nprc.org.zw,,ngo,shoppystore,95.179.206.203,Apache,,,,,,,2026-05-04T21:08:46.304551+00:00
newshour.co.zw,,news,,195.250.23.130,LiteSpeed,,,,,,,2026-05-04T21:08:46.304563+00:00
motsohoney.co.zw,,business,,172.96.161.16,Apache,info@motsohoney.co.zw,info@motsohoney.co.zw,+263 71 212 7172,https://www.facebook.com/motsohoneyzw; https://x.com/Motsohoney?t=R5P8tCCVXpCTcfSXDcx2jA&s=09; https://www.linkedin.com/company/motso-honey-company/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304591+00:00
lighthouse.co.zw,,ngo,,172.67.143.249,cloudflare,,,+263 77 269 3655,,,"/,/about/,/about-us/",2026-05-04T21:08:46.304616+00:00
myeclass.ac.zw,,education,,169.239.218.73,LiteSpeed,admin@myeclass.ac.zw,admin@myeclass.ac.zw,+263 783 141 477; +263 785 822 463,https://www.facebook.com/Zwmyeclass; https://twitter.com/myeclassdigital,,"/,/about-myeclass/,/about/",2026-05-04T21:08:46.304637+00:00
oxfordproperties.co.zw,,business,enfold,160.153.0.44,cloudflare,info@oxprop.co.zw,info@oxprop.co.zw,08080488; +263 772 428 850; +263 773 387 161,https://www.instagram.com/oxfordpropertieszw; https://www.facebook.com/OxfordPropertiesZw/,,"/,/about/,/pages/about-us/,/pages/about-us-2-2/,/pages/contact/",2026-05-04T21:08:46.304675+00:00
medpride.co.zw,,other,oceanwp,129.232.156.138,Apache,info@medpride.co.zw,appointments@medpride.co.zw; info@medpride.co.zw,+263 712 303 856,https://www.facebook.com/share/1C5MtPHZiG/?mibextid=wwXIfr,,"/,/get-contacts/",2026-05-04T21:08:46.304713+00:00
multilinkcargo.co.zw,,business,,172.96.161.16,Apache,admin@multilinkcargo.co.zw,admin@multilinkcargo.co.zw; info@multlinkcargo.co.zw,+263 242 585609-11; +263 242 575298-9; +263 242 585609,https://www.facebook.com/multilinkcargozw; https://twitter.com/CargoMultilink; https://www.instagram.com/multilinkcargo/,,"/,/company/contact/",2026-05-04T21:08:46.304740+00:00
pawmwrought.co.zw,,business,,173.254.28.213,nginx/1.27.2,,,,,,,2026-05-04T21:08:46.304762+00:00
passionpoultry.co.zw,,business,,192.250.229.235,,admin@passionpoultry.co.zw,admin@passionpoultry.co.zw,+263737959570; +263787393693; +263737318496,https://www.facebook.com/PassionPoultry,,"/,/contact-us/,/contact",2026-05-04T21:08:46.304781+00:00
palmer.co.zw,,business,construction-hub,95.216.202.116,Apache/2.4.41 (Ubuntu),start@palmer.co.zw,start@palmer.co.zw,+263784928928; +263 784928928; +263 712042 555,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304812+00:00
nationalfoods.co.zw,,business,dt-the7-child,129.232.213.100,Apache,customerservice@natfood.co.zw,customerservice@natfood.co.zw,,https://www.facebook.com/redsealzim; https://www.facebook.com/Gloriaflour; https://www.facebook.com/betterbuyzimbabwe; https://www.facebook.com/MahatmaRiceZimbabwe; https://www.facebook.com/PearlentaZimbabwe/; https://www.facebook.com/pearlentanutriactive/; https://www.facebook.com/NFStockfeeds,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304830+00:00
mydragley.co.zw,,education,astra,172.96.161.16,Apache,sales@mydragley.co.zw,sales@mydragley.co.zw; operations@mydragley.co.zw,+263 77 521 7120,,,"/,/about/,/contact",2026-05-04T21:08:46.304875+00:00
neguschronicles.co.zw,,blog,smart-mag,172.96.161.16,Apache,,,+263 78 393 8036,https://www.facebook.com/neguschroniclesmagazine; https://twitter.com/neguschronicles; https://www.instagram.com/negus_chronicles/; https://facebook.com/neguschroniclesmagazine,,"/,/contact-us/,/contact",2026-05-04T21:08:46.304903+00:00
nuclass.co.zw,,education,,154.66.197.227,Apache,,,,,,"/,/about/",2026-05-04T21:08:46.304928+00:00
gwandardc.co.zw,,government,,217.76.49.85,Apache,admin@gwandardc.co.zw,admin@gwandardc.co.zw,+263 084-2822312; +263 084-2822369,https://x.com/RuralGrdc,,/contact-us/,2026-05-04T21:08:46.304956+00:00
pmb.co.zw,,business,,188.114.97.5,cloudflare,,,+263 242 614 626; +263 242 610 529; +263 77 232 1746,https://www.facebook.com/PMBafrica/; https://twitter.com/pmbwallingzimba,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.304983+00:00
lkfri.org.zw,,education,,129.232.213.107,Apache,,,,,,/,2026-05-04T21:08:46.305000+00:00
petreans.co.zw,,other,,129.232.213.100,Apache,development@peterhouse.co.zw,development@peterhouse.co.zw; rsapetreans@peterhouse.co.zw; ukpetreans@peterhouse.co.zw; australianpetreans@peterhouse.co.zw; EUpetreans@peterhouse.co.zw,,https://www.instagram.com/p/DW2_3nvlo2_/; https://www.instagram.com/p/DWE6_wZFjpp/; https://www.instagram.com/p/DV8stIVDGff/; https://www.instagram.com/p/DVjWMA9DUBD/; https://www.instagram.com/p/DViFeGOjckN/; https://www.instagram.com/p/DVgEGCgCaYK/; https://www.facebook.com/peterhousegroupzimbabwe/; https://www.instagram.com/peterhouse_group_of_schools/; https://twitter.com/peterhousegroup; https://www.linkedin.com/company/peterhouse-group-of-schools-zimbabwe?originalSubdomain=zw,,"/,/about/petrean-society-committee/,/about/",2026-05-04T21:08:46.305040+00:00
mutarepolytechnic.ac.zw,,education,,213.165.247.200,Apache,principal@mutarepolytechnic.ac.zw,principal@mutarepolytechnic.ac.zw; principalmutarepolytechnic@gmail.com; admissions@mutarepolytechnic.ac.zw; examinations@mutarepolytechnic.ac.zw,00382 982 080; 00382 982 405; +263 20 63141,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.305063+00:00
muthengo.co.zw,,business,,156.38.193.83,Apache,muthengo@muthengo.co.zw,muthengo@muthengo.co.zw,+263 789 567 185; 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23; 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59,https://www.facebook.com/MuthengoTnT,,"/,/about/,/contact",2026-05-04T21:08:46.305088+00:00
northolt.co.zw,,business,,129.232.213.100,Apache,info@northolt.co.zw,info@northolt.co.zw,+263 242 703 424-6; +263780321116,,,"/,/about/,/about-us/",2026-05-04T21:08:46.305104+00:00
ns.gzu.ac.zw,,education,,196.43.101.214,Apache,,,,,,,2026-05-04T21:08:46.305123+00:00
pigad.co.zw,,ngo,,188.114.96.5,cloudflare,,,+263 8677 190 920; +263 773 330 073,https://www.facebook.com/pigadZW; https://twitter.com/PigadZimbabwe; https://www.facebook.com/FeedMix-Pvt-Ltd-1571052753109609/,,"/,/about-page/",2026-05-04T21:08:46.305156+00:00
maxicleansolutions.co.zw,,business,bugspatrol,172.93.121.21,Apache,infor@maxicleansolutions.co.zw,infor@maxicleansolutions.co.zw,+263 77 603 4192; +263776034192,https://www.facebook.com/maxicleansolutionsZW; https://www.linkedin.com/company/maxicleansolutions/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305170+00:00
peterhousegroup.co.zw,,education,,129.232.213.100,Apache,,,+263 65-2322200; +263 65-2323598; +263 65-2323599,https://www.facebook.com/peterhousegroupzimbabwe/; https://www.instagram.com/peterhouse_group_of_schools/; https://www.linkedin.com/company/peterhouse-group-of-schools-zimbabwe?originalSubdomain=zw; https://twitter.com/peterhousegroup,,"/,/peterhouse-boys/contact/,/springvale-house/about/governance/",2026-05-04T21:08:46.305203+00:00
pamtech.co.zw,,business,digilab-child,68.66.224.38,Apache,pamela@pamtech.co.zw,pamela@pamtech.co.zw,+263 775 017 342; +263-775-017-342; +263-773-975-689,https://facebook.com/pamtechdesignsandsystems; https://www.linkedin.com/company/pamtech-designs-and-systems/?originalSubdomain=zw; https://www.facebook.com/pamtechdesignsandsystems; https://www.linkedin.com/in/pamela-muzoma-437247159/; https://linkedin.com/watsonmuchenje; https://linkedin.com/pamelamuzoma; https://linkedin.com/mmugovemachake/; linkedin.com/Vaidah.cHIMUTAFU,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305244+00:00
nationalgallery.co.zw,,other,,194.163.128.136,Apache,info@nationalgallery.co.zw,info@museumwp.com; info@nationalgallery.co.zw,+263 8677002043,https://twitter.com/natgalleryzimb; https://www.facebook.com/NatGalleryZimb?__cft__[0]=AZUSBzmjXkR4YwOZ68mcuzg0bySw-bG9QeQPt8GnO0hyb5g_AJ2qOYiPYlnjL2IWW-8jA6WFPLVq1k4R3rLCJqxVkrwpQPa1phKVheM1ucBSZkG2CspPLbz91S2x6Hkkw-xHN4anlZ3r-DmmD-McXVO9JaR3p4L8UVg55kRZaU4bbBSw4q-cm8GzdVmjAJ308gkU1-fZz7-sk7Dld_Ho8ylK&__tn__=-UC%2CP-R; https://www.instagram.com/natgalleryzim/; https://www.facebook.com/FOGZW/; https://www.facebook.com/irlembvienna/,,"/,/about/,/contact",2026-05-04T21:08:46.305277+00:00
pmconsultancy.co.zw,,business,,57.129.144.46,LiteSpeed,info@pmconsultancy.co.zw,info@pmconsultancy.co.zw,+263 717 183 755; +263 775 058 802; +263 717 183 755 -,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.305304+00:00
paperplane.co.zw,,ecommerce,,148.251.13.105,Apache,,,,,,/,2026-05-04T21:08:46.305326+00:00
newziana.co.zw,,news,,162.241.27.65,nginx/1.25.5,,,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305349+00:00
primo.co.zw,,business,,172.67.137.146,cloudflare,,,,,,,2026-05-04T21:08:46.305359+00:00
primebricks.co.zw,,business,,188.114.96.5,cloudflare,,,,,,,2026-05-04T21:08:46.305383+00:00
pearlville.co.zw,,business,,103.138.189.55,LiteSpeed,info@yourdomain.com,info@yourdomain.com,+263-718421701; +263-718 421 700; +263-771 209 179,https://www.facebook.com/pearlville.co.zw/,,"/,/index.php/contact/,/index.php/about-us/",2026-05-04T21:08:46.305410+00:00
